WKT,id,OBJECTID,LSOA11CD,LSOA11NM,BNG_E,BNG_N,LONG_,LAT,Shape_Leng,Shape__Are,Shape__Len
"POLYGON ((-1.55705714870774 54.8847256188852,-1.55890796603975 54.8839320005574,-1.55940922906717 54.8820361345519,-1.56199266159311 54.8808236621066,-1.56746799620031 54.8805370777104,-1.56823917008865 54.8807795721995,-1.57001287003183 54.8842406299071,-1.57263486125218 54.8850122032814,-1.57174801128059 54.8858499115163,-1.57375306339027 54.8873930582649,-1.57263486125218 54.8883850811748,-1.571323865642 54.8884071261283,-1.56742943750589 54.8873489683578,-1.5660798832013 54.8857617317021,-1.56291807025911 54.8864892151693,-1.56160707464894 54.885276742724,-1.5610672529271 54.8869301142404,-1.56091301814943 54.8894432389452,-1.55960202253926 54.890832071019,-1.55829102692908 54.8913611499042,-1.55705714870774 54.8909643407403,-1.55721138348541 54.8881866765928,-1.55852237909558 54.8881866765928,-1.55856093779 54.8861144509589,-1.55705714870774 54.8847256188852))",,"8109",E01008172,Gateshead 026A,"428009","554384",-1.56496,54.8834,5045.59692245,611168.419189453,5045.59692245225
"POLYGON ((-1.56746799620031 54.8805370777104,-1.57101539608667 54.8794568749864,-1.57591235027762 54.8789498410547,-1.5758737915832 54.8782884924481,-1.57988389580256 54.8777594135629,-1.58084786316298 54.881639325388,-1.57591235027762 54.8817715951093,-1.57618226113853 54.8841524500929,-1.57263486125218 54.8850122032814,-1.57001287003183 54.8842406299071,-1.56823917008865 54.8807795721995,-1.56746799620031 54.8805370777104))",,"8110",E01008173,Gateshead 026B,"427385","554154",-1.5747,54.8814,2965.09330726,373360.541915894,2965.09330726161
"POLYGON ((-1.55852237909558 54.8959465002429,-1.55933211167834 54.8976219167129,-1.56064310728851 54.8977541864342,-1.56203122028752 54.8995398276718,-1.56461465281346 54.8982832653194,-1.56596420711805 54.8980187258768,-1.5665425875343 54.8969605681063,-1.56527015061854 54.8948883424725,-1.56527015061854 54.8928602067457,-1.56777646575564 54.8934333755381,-1.56580997234038 54.8904132169015,-1.56877899181048 54.8903470820408,-1.56785358314448 54.8885614408032,-1.571323865642 54.8884071261283,-1.57263486125218 54.8883850811748,-1.57375306339027 54.8873930582649,-1.57174801128059 54.8858499115163,-1.57263486125218 54.8850122032814,-1.57618226113853 54.8841524500929,-1.57591235027762 54.8817715951093,-1.58084786316298 54.881639325388,-1.58196606530107 54.8861364959125,-1.58331561960567 54.8906557113906,-1.5781487545538 54.8913611499042,-1.57683775894362 54.8912509251365,-1.57745469805429 54.8931688360954,-1.57595090897203 54.8941608590053,-1.57437000250094 54.8942931287266,-1.5738301807791 54.8930145214206,-1.57286621341868 54.8923972627211,-1.57051413305925 54.8921327232785,-1.56939593092116 54.8930586113277,-1.57228783300243 54.8944033534943,-1.57394585686235 54.8963433094069,-1.57487126552836 54.8969385231528,-1.57687631763804 54.8968062534314,-1.57641361330504 54.8979746359697,-1.57672208286037 54.8992752882292,-1.5779174023873 54.9003995808604,-1.57614370244412 54.900664120303,-1.57548820463903 54.9005979854423,-1.57444711988977 54.8988784790653,-1.56870187442165 54.8994296029041,-1.56931881353232 54.9007523001172,-1.5665425875343 54.9011491092811,-1.56580997234038 54.9021190872374,-1.56365068545303 54.902185222098,-1.56411338978604 54.9031552000543,-1.56372780284187 54.9045881220352,-1.56276383548144 54.9050731110133,-1.56029607903876 54.9035960991253,-1.559023642123 54.902185222098,-1.55840670301233 54.9003114010461,-1.55852237909558 54.8959465002429))",,"8111",E01008174,Gateshead 026C,"427622","555792",-1.57085,54.8961,11706.922724,1516683.11668396,11706.9227240387
"POLYGON ((-1.58331561960567 54.8906557113906,-1.58427958696609 54.8931467911419,-1.58655454993669 54.8942490388195,-1.58755707599153 54.8943372186337,-1.58524355432651 54.8953292415435,-1.58682446079761 54.8973353323167,-1.5861304042981 54.8979746359697,-1.58678590210319 54.8988784790653,-1.58605328690927 54.8998705019751,-1.57922839799747 54.9005538955352,-1.5779174023873 54.9003995808604,-1.57672208286037 54.8992752882292,-1.57641361330504 54.8979746359697,-1.57687631763804 54.8968062534314,-1.57487126552836 54.8969385231528,-1.57394585686235 54.8963433094069,-1.57228783300243 54.8944033534943,-1.56939593092116 54.8930586113277,-1.57051413305925 54.8921327232785,-1.57286621341868 54.8923972627211,-1.5738301807791 54.8930145214206,-1.57437000250094 54.8942931287266,-1.57595090897203 54.8941608590053,-1.57745469805429 54.8931688360954,-1.57683775894362 54.8912509251365,-1.5781487545538 54.8913611499042,-1.58331561960567 54.8906557113906))",,"8112",E01008175,Gateshead 026D,"427135","555779",-1.57845,54.896,5339.46537516,678348.269439697,5339.46537516186
"POLYGON ((-1.55829102692908 54.8913611499042,-1.55960202253926 54.890832071019,-1.56091301814943 54.8894432389452,-1.5610672529271 54.8869301142404,-1.56160707464894 54.885276742724,-1.56291807025911 54.8864892151693,-1.5660798832013 54.8857617317021,-1.56742943750589 54.8873489683578,-1.571323865642 54.8884071261283,-1.56785358314448 54.8885614408032,-1.56877899181048 54.8903470820408,-1.56580997234038 54.8904132169015,-1.56777646575564 54.8934333755381,-1.56527015061854 54.8928602067457,-1.56527015061854 54.8948883424725,-1.5665425875343 54.8969605681063,-1.56596420711805 54.8980187258768,-1.56461465281346 54.8982832653194,-1.56203122028752 54.8995398276718,-1.56064310728851 54.8977541864342,-1.55933211167834 54.8976219167129,-1.55852237909558 54.8959465002429,-1.55867661387325 54.8934333755381,-1.55829102692908 54.8913611499042))",,"8113",E01008176,Gateshead 026E,"428013","555324",-1.5648,54.8919,5072.67568393,632632.094955444,5072.67568392849
"POLYGON ((-1.71441518062322 54.9664903516079,-1.71341265456838 54.9658069580478,-1.70840002429417 54.9654101488839,-1.70770596779467 54.9624340801544,-1.70832290690534 54.9610011581736,-1.71086778073686 54.9605161691954,-1.71156183723636 54.9608909334058,-1.7100580481541 54.9619050012692,-1.71406815237346 54.9625443049222,-1.71510923712272 54.9613759223839,-1.71680581967706 54.9619270462227,-1.71815537398166 54.9611554728484,-1.72131718692385 54.9610672930342,-1.72405485422745 54.9629190691325,-1.72505738028229 54.9638890470888,-1.72370782597769 54.9652337892555,-1.719389252203 54.9659171828156,-1.71888798917558 54.9667769360041,-1.71441518062322 54.9664903516079))",,"8114",E01008177,Gateshead 005A,"418249","563262",-1.71652,54.9637,3860.13497216,488406.302612305,3860.13497216207
"POLYGON ((-1.71086778073686 54.9605161691954,-1.7121016589582 54.9592155169359,-1.71329697848512 54.9576282802802,-1.71776978703749 54.9570771564414,-1.71669014359381 54.9560410436245,-1.72000619131367 54.9554458298786,-1.72058457172992 54.9571212463485,-1.7214328630071 54.9572314711162,-1.72390061944978 54.9562835381135,-1.71923501742533 54.9593698316107,-1.71815537398166 54.9611554728484,-1.71680581967706 54.9619270462227,-1.71510923712272 54.9613759223839,-1.71406815237346 54.9625443049222,-1.7100580481541 54.9619050012692,-1.71156183723636 54.9608909334058,-1.71086778073686 54.9605161691954))",,"8115",E01008178,Gateshead 004A,"418221","562783",-1.71699,54.9594,3504.74223402,291281.682266235,3504.74223402343
"POLYGON ((-1.72131718692385 54.9610672930342,-1.72686963891988 54.9589950674004,-1.72929883666815 54.9593698316107,-1.73080262575041 54.9587305279577,-1.73107253661133 54.9576062353266,-1.73219073874942 54.9573857857911,-1.73242209091592 54.9561733133458,-1.73527543430277 54.957143291302,-1.73427290824793 54.9589068875862,-1.73415723216468 54.9602957196599,-1.73249920830475 54.962456125108,-1.73007001055649 54.9634261030642,-1.72505738028229 54.9638890470888,-1.72405485422745 54.9629190691325,-1.72131718692385 54.9610672930342))",,"8116",E01008179,Gateshead 005B,"417441","562835",-1.72917,54.9599,3077.28420287,362576.178588867,3077.28420287498
"POLYGON ((-1.72390061944978 54.9562835381135,-1.72578999547621 54.9570551114878,-1.72949163014023 54.9572976059769,-1.72991577577882 54.9567685270917,-1.73242209091592 54.9561733133458,-1.73219073874942 54.9573857857911,-1.73107253661133 54.9576062353266,-1.73080262575041 54.9587305279577,-1.72929883666815 54.9593698316107,-1.72686963891988 54.9589950674004,-1.72131718692385 54.9610672930342,-1.71815537398166 54.9611554728484,-1.71923501742533 54.9593698316107,-1.72390061944978 54.9562835381135))",,"8117",E01008180,Gateshead 004B,"417692","562714",-1.72526,54.9588,2785.26241101,240911.481307983,2785.26241101065
"POLYGON ((-1.69887602677319 54.9487221190453,-1.69976287674478 54.9472451071574,-1.70265477882605 54.9465617135973,-1.70516109396315 54.946429443876,-1.70651064826775 54.9458342301301,-1.71017372423735 54.9482371300672,-1.71148471984753 54.9490748383022,-1.70971101990435 54.9498905015836,-1.71125336768103 54.9517422776819,-1.71156183723636 54.9529547501272,-1.70963390251552 54.9538806381764,-1.70974957859877 54.9574960105589,-1.70836146559976 54.9570330665343,-1.70828434821092 54.9589509774933,-1.7095953438211 54.9594359664714,-1.7121016589582 54.9592155169359,-1.71086778073686 54.9605161691954,-1.70832290690534 54.9610011581736,-1.70770596779467 54.9624340801544,-1.70840002429417 54.9654101488839,-1.71341265456838 54.9658069580478,-1.71441518062322 54.9664903516079,-1.7102894003206 54.9661155873975,-1.70770596779467 54.9670194304931,-1.706626324351 54.9690034763128,-1.70562379829616 54.9697530047335,-1.70300180707581 54.9702820836188,-1.69883746807878 54.9699073194084,-1.69629259424726 54.9690255212663,-1.69004608575172 54.9661817222582,-1.68148605559116 54.9637788223211,-1.67986659042565 54.9635804177391,-1.68264281642367 54.9615302370588,-1.68368390117293 54.960339809567,-1.68580462936586 54.9592816517965,-1.68649868586536 54.9585541683293,-1.6852262489496 54.9582896288867,-1.6847635446166 54.9572094261627,-1.68588174675469 54.9563496729742,-1.68811815103087 54.9565701225097,-1.69116428788981 54.9560189986709,-1.69428754213758 54.9538145033158,-1.69621547685843 54.9529547501272,-1.69883746807878 54.9503093557011,-1.69887602677319 54.9487221190453))",,"8118",E01008181,Gateshead 005C,"419463","562904",-1.69759,54.9604,9858.70267916,3049062.23310852,9858.70267915946
